"haplotype"	"feature"	"strand"	"start"	"end"	"mean_methy_prob"	"mean_methy_rate"	"RU"
"4q_hap1"	"D4Z4_unit"	"-"	80692	82264	0.104552310434663	0.0909090909090909	-1
"4q_hap1"	"D4Z4_unit"	"+"	125827	129127	0.237840451248993	0.228767123287671	1
"4q_hap1"	"D4Z4_unit"	"+"	129127	132412	0.244544678125334	0.233212341197822	2
"4q_hap1"	"D4Z4_unit"	"+"	132412	135736	0.324393080002485	0.317790855590765	3
"4q_hap1"	"D4Z4_unit"	"+"	135736	139027	0.287472816197552	0.272974196468991	4
"4q_hap1"	"D4Z4_unit"	"+"	139027	142353	0.330115313860098	0.323569794050343	5
"4q_hap1"	"D4Z4_unit"	"+"	142353	145659	0.349567421905471	0.343128390596745	6
"4q_hap1"	"D4Z4_unit"	"+"	145659	148984	0.337079336074311	0.32800365463682	7
"4q_hap1"	"D4Z4_unit"	"+"	148984	152308	0.351949187318239	0.343039126478617	8
"4q_hap1"	"D4Z4_unit"	"+"	152308	155638	0.395620089190911	0.390794223826715	9
"4q_hap1"	"D4Z4_unit"	"+"	155638	158931	0.326375426016908	0.312866817155756	10
"4q_hap1"	"D4Z4_unit"	"+"	158931	162229	0.321164434624056	0.311497938616583	11
"4q_hap1"	"D4Z4_unit"	"+"	162229	165527	0.355433155080214	0.346818181818182	12
