"haplotype"	"feature"	"strand"	"start"	"end"	"mean_methy_prob"	"mean_methy_rate"	"RU"
"4q_hap2"	"D4Z4_unit"	"+"	19440	22689	0.517520750631541	0.523006134969325	1
"4q_hap2"	"D4Z4_unit"	"+"	22703	25975	0.615662029881504	0.622874806800618	2
"4q_hap2"	"D4Z4_unit"	"+"	25985	29289	0.578461081402258	0.586363636363636	3
"4q_hap2"	"D4Z4_unit"	"+"	29289	32590	0.615571290244493	0.62962962962963	4
"4q_hap2"	"D4Z4_unit"	"+"	32590	35876	0.776379530140229	0.798761609907121	5
"4q_hap2"	"D4Z4_unit"	"+"	35881	39174	0.778355608085584	0.799072642967543	6
"4q_hap2"	"D4Z4_unit"	"+"	39174	42463	0.832321218163691	0.85824345146379	7
"4q_hap2"	"D4Z4_unit"	"+"	42463	45771	0.733655654042439	0.751902587519026	8
"4q_hap2"	"D4Z4_unit"	"+"	45771	49064	0.743462118575241	0.767751479289941	9
"4q_hap2"	"D4Z4_unit"	"+"	49064	52357	0.745438785270206	0.768292682926829	10
"4q_hap2"	"D4Z4_unit"	"+"	52357	55641	0.811770739064857	0.833846153846154	11
"4q_hap2"	"D4Z4_unit"	"+"	55644	58939	0.803429120499655	0.822358346094946	12
"4q_hap2"	"D4Z4_unit"	"+"	58939	62231	0.804530507855316	0.826086956521739	13
"4q_hap2"	"D4Z4_unit"	"+"	62231	65531	0.818955264843107	0.842923794712286	14
"4q_hap2"	"D4Z4_unit"	"+"	65531	68843	0.847464503042596	0.866771159874608	15
"4q_hap2"	"D4Z4_unit"	"+"	68843	72109	0.821030607364897	0.830792682926829	16
"4q_hap2"	"D4Z4_unit"	"+"	72109	75428	0.82765996680804	0.852664576802508	17
"4q_hap2"	"D4Z4_unit"	"+"	75428	78741	0.805287713841369	0.821150855365474	18
"4q_hap2"	"D4Z4_unit"	"+"	78741	82042	0.781935941797533	0.799396681749623	19
"4q_hap2"	"D4Z4_unit"	"+"	82042	85334	0.782346889373033	0.794753086419753	20
"4q_hap2"	"D4Z4_unit"	"+"	85334	88617	0.771638549198131	0.792109256449165	21
"4q_hap2"	"D4Z4_unit"	"+"	88617	91901	0.758817401960784	0.7734375	22
"4q_hap2"	"D4Z4_unit"	"+"	91901	95217	0.771751514061282	0.792048929663609	23
"4q_hap2"	"D4Z4_unit"	"+"	95217	98514	0.767594812219559	0.786833855799373	24
"4q_hap2"	"D4Z4_unit"	"+"	98517	101795	0.779096959884871	0.798165137614679	25
"4q_hap2"	"D4Z4_unit"	"+"	101795	105085	0.756419020207471	0.77217125382263	26
